title,url,price_numeric,municipality,condition,ad_type,property_type,rooms,square_m2,equipment,level,heating,price_per_m2
Stan Socijalno/ 54m2 Namješten/ Dvosoban/ Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71516955,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,54.0,Namješten,1,Centralno (Kotlovnica),13.88888888888889
Prostran lijep stan - [Iznajmljivanje],https://olx.ba/artikal/71657797,750.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,3.0,62.0,Namješten,2,Centralno (gradsko),12.096774193548388
Stan Grbavica - dvosoban 50m2 - [Iznajmljivanje],https://olx.ba/artikal/71800123,760.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,50.0,Namješten,4,Struja,15.2
NN Nekretnine : Trosoban stan - Koševo - Bolnička - [Iznajmljivanje],https://olx.ba/artikal/71452975,799.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,3.0,86.0,Namješten,10,Centralno (gradsko),9.290697674418604
Trosoban namješten stan - Centar - Koševo - 85 m2 - [Iznajmljivanje],https://olx.ba/artikal/69099866,800.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,3.0,85.0,Namješten,1,Centralno (Plin),9.411764705882351
"STAN GRBAVICA, NOVO SARAJEVO - [Iznajmljivanje]",https://olx.ba/artikal/66673219,800.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,53.0,Namješten,3,Struja,15.09433962264151
Apartmani/Stanovi za Studente sa svim režijama - [Iznajmljivanje],https://olx.ba/artikal/69992293,800.0,Sarajevo - Stari Grad,Dobro stanje,Iznajmljivanje,Apartman,3.0,50.0,Namješten,2,Plin,16.0
Prazan stan Nova Otoka - [Iznajmljivanje],https://olx.ba/artikal/71391646,800.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,3.0,69.0,Nenamješten,1,Centralno (Kotlovnica),11.594202898550725
Stan Sarajevo - Stari Grad - [Iznajmljivanje],https://olx.ba/artikal/71574410,800.0,Sarajevo - Stari Grad,Renoviran,Iznajmljivanje,Stan,2.0,45.0,Namješten,3,Plin,17.77777777777778
"PROSTOR izdaje:Trosoban stan, 70m2, Koševsko brdo - [Iznajmljivanje]",https://olx.ba/artikal/71026586,800.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,3.0,70.0,Namješten,1,Ostalo,11.428571428571429
Trosoban stan - Centar - Koševsko brdo - 70 m2 - [Iznajmljivanje],https://olx.ba/artikal/71790317,800.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,3.0,70.0,Namješten,1,Struja,11.428571428571429
